playerId,season,name,team,situation,games_played,icetime,gameScore,onIce_xGoalsPercentage,I_F_xGoals,I_F_shotsOnGoal,I_F_shotAttempts,I_F_points,I_F_goals,I_F_highDangerShots,I_F_highDangerGoals
8477320,2018,Anton Blidh,BOS,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477320,2018,Anton Blidh,BOS,all,1,826.0,0.05,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477320,2018,Anton Blidh,BOS,5on5,1,740.0,0.05,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477320,2018,Anton Blidh,BOS,4on5,1,86.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477320,2018,Anton Blidh,BOS,5on4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473492,2018,Matt Beleskey,NYR,other,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473492,2018,Matt Beleskey,NYR,all,4,1769.0,0.48,0.34,0.19,3.0,6.0,1.0,1.0,0.0,0.0
8473492,2018,Matt Beleskey,NYR,5on5,4,1769.0,0.48,0.34,0.19,3.0,6.0,1.0,1.0,0.0,0.0
8473492,2018,Matt Beleskey,NYR,4on5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473492,2018,Matt Beleskey,NYR,5on4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473463,2018,Leo Komarov,NYI,other,82,2447.0,6.81,0.74,1.9,2.0,7.0,2.0,2.0,3.0,2.0
8473463,2018,Leo Komarov,NYI,all,82,68221.0,16.07,0.42,9.56,77.0,141.0,26.0,5.0,9.0,4.0
8473463,2018,Leo Komarov,NYI,5on5,82,57418.0,16.07,0.47,6.85,67.0,119.0,24.0,3.0,6.0,2.0
8473463,2018,Leo Komarov,NYI,4on5,82,8006.0,15.37,0.08,0.76,8.0,14.0,0.0,0.0,0.0,0.0
8473463,2018,Leo Komarov,NYI,5on4,82,350.0,5.71,0.68,0.05,0.0,1.0,0.0,0.0,0.0,0.0
8477942,2018,Kevin Fiala,MIN,other,83,3649.0,28.94,0.34,0.44,5.0,12.0,2.0,1.0,0.0,0.0
8477942,2018,Kevin Fiala,MIN,all,83,77812.0,40.88,0.53,18.99,174.0,316.0,38.0,13.0,18.0,3.0
8477942,2018,Kevin Fiala,MIN,5on5,83,63994.0,40.88,0.5,14.7,139.0,252.0,26.0,10.0,13.0,1.0
8477942,2018,Kevin Fiala,MIN,4on5,83,64.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477942,2018,Kevin Fiala,MIN,5on4,83,10105.0,38.01,0.83,3.84,30.0,52.0,10.0,2.0,5.0,2.0
8478073,2018,Anton Lindholm,COL,other,2,26.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478073,2018,Anton Lindholm,COL,all,2,861.0,0.0,0.61,0.04,0.0,2.0,0.0,0.0,0.0,0.0
8478073,2018,Anton Lindholm,COL,5on5,2,761.0,0.0,0.62,0.04,0.0,2.0,0.0,0.0,0.0,0.0
8478073,2018,Anton Lindholm,COL,4on5,2,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478073,2018,Anton Lindholm,COL,5on4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476436,2018,Dmitrij Jaskin,WSH,other,37,108.0,1.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476436,2018,Dmitrij Jaskin,WSH,all,37,22390.0,9.72,0.47,4.98,48.0,92.0,8.0,2.0,2.0,1.0
8476436,2018,Dmitrij Jaskin,WSH,5on5,37,21737.0,9.72,0.49,4.84,46.0,90.0,8.0,2.0,2.0,1.0
8476436,2018,Dmitrij Jaskin,WSH,4on5,37,505.0,2.55,0.3,0.14,2.0,2.0,0.0,0.0,0.0,0.0
8476436,2018,Dmitrij Jaskin,WSH,5on4,37,40.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477462,2018,Robert Hagg,PHI,other,82,3114.0,7.92,0.55,0.11,1.0,5.0,2.0,1.0,0.0,0.0
8477462,2018,Robert Hagg,PHI,all,82,83252.0,11.4,0.4,4.29,86.0,198.0,19.0,5.0,3.0,1.0
8477462,2018,Robert Hagg,PHI,5on5,82,71919.0,11.4,0.44,4.13,83.0,189.0,17.0,4.0,3.0,1.0
8477462,2018,Robert Hagg,PHI,4on5,82,7964.0,12.12,0.11,0.0,2.0,3.0,0.0,0.0,0.0,0.0
8477462,2018,Robert Hagg,PHI,5on4,82,255.0,5.9,0.74,0.04,0.0,1.0,0.0,0.0,0.0,0.0
8476393,2018,Nick Cousins,ARI,other,81,1939.0,19.8,0.55,1.14,2.0,6.0,3.0,0.0,2.0,0.0
8476393,2018,Nick Cousins,ARI,all,81,65943.0,30.75,0.53,13.47,145.0,235.0,27.0,7.0,15.0,2.0
8476393,2018,Nick Cousins,ARI,5on5,81,59936.0,30.75,0.5,11.35,134.0,216.0,21.0,6.0,11.0,1.0
8476393,2018,Nick Cousins,ARI,4on5,81,51.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476393,2018,Nick Cousins,ARI,5on4,81,4017.0,18.41,0.82,0.97,8.0,12.0,3.0,1.0,2.0,1.0
8475728,2018,Johan Larsson,BUF,other,73,1287.0,6.47,0.62,2.26,1.0,6.0,0.0,0.0,4.0,0.0
8475728,2018,Johan Larsson,BUF,all,73,62538.0,17.36,0.4,8.84,79.0,160.0,15.0,6.0,5.0,0.0
8475728,2018,Johan Larsson,BUF,5on5,73,50982.0,17.36,0.48,5.84,72.0,144.0,14.0,5.0,1.0,0.0
8475728,2018,Johan Larsson,BUF,4on5,73,10019.0,16.72,0.09,0.73,5.0,9.0,1.0,1.0,0.0,0.0
8475728,2018,Johan Larsson,BUF,5on4,73,250.0,5.59,0.88,0.01,1.0,1.0,0.0,0.0,0.0,0.0
8477476,2018,Artturi Lehkonen,MTL,other,82,2892.0,31.2,0.64,1.84,6.0,9.0,1.0,0.0,4.0,0.0
8477476,2018,Artturi Lehkonen,MTL,all,82,76488.0,45.58,0.49,18.22,177.0,292.0,33.0,12.0,18.0,3.0
8477476,2018,Artturi Lehkonen,MTL,5on5,82,60273.0,45.58,0.55,14.1,153.0,251.0,32.0,12.0,13.0,3.0
8477476,2018,Artturi Lehkonen,MTL,4on5,82,10744.0,41.33,0.11,1.27,12.0,17.0,0.0,0.0,1.0,0.0
8477476,2018,Artturi Lehkonen,MTL,5on4,82,2579.0,24.05,0.79,0.97,6.0,14.0,0.0,0.0,0.0,0.0
8471675,2018,Sidney Crosby,PIT,other,79,6287.0,94.13,0.5,3.92,13.0,23.0,9.0,4.0,4.0,2.0
8471675,2018,Sidney Crosby,PIT,all,79,99481.0,109.86,0.61,31.56,220.0,348.0,101.0,35.0,39.0,15.0
8471675,2018,Sidney Crosby,PIT,5on5,79,76523.0,109.86,0.57,18.51,158.0,255.0,62.0,20.0,21.0,5.0
8471675,2018,Sidney Crosby,PIT,4on5,79,2383.0,79.33,0.32,0.68,4.0,4.0,1.0,0.0,1.0,0.0
8471675,2018,Sidney Crosby,PIT,5on4,79,14288.0,107.44,0.88,8.31,43.0,62.0,28.0,11.0,13.0,8.0
8478233,2018,Andrew Mangiapane,CGY,other,44,273.0,7.11,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478233,2018,Andrew Mangiapane,CGY,all,44,27747.0,19.65,0.58,6.88,65.0,97.0,13.0,8.0,6.0,0.0
8478233,2018,Andrew Mangiapane,CGY,5on5,44,26164.0,19.65,0.59,6.8,61.0,92.0,13.0,8.0,6.0,0.0
8478233,2018,Andrew Mangiapane,CGY,4on5,44,95.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478233,2018,Andrew Mangiapane,CGY,5on4,44,1215.0,11.04,0.94,0.08,4.0,5.0,0.0,0.0,0.0,0.0
8477501,2018,Valeri Nichushkin,DAL,other,57,651.0,3.48,0.7,0.04,1.0,2.0,1.0,0.0,0.0,0.0
8477501,2018,Valeri Nichushkin,DAL,all,57,40700.0,11.6,0.54,5.52,64.0,109.0,10.0,0.0,7.0,0.0
8477501,2018,Valeri Nichushkin,DAL,5on5,57,37863.0,11.6,0.51,5.44,61.0,104.0,9.0,0.0,7.0,0.0
8477501,2018,Valeri Nichushkin,DAL,4on5,57,1013.0,5.32,0.53,0.05,2.0,2.0,0.0,0.0,0.0,0.0
8477501,2018,Valeri Nichushkin,DAL,5on4,57,1173.0,5.35,0.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8474066,2018,Thomas Hickey,NYI,other,40,1861.0,5.97,0.58,0.09,2.0,3.0,0.0,0.0,0.0,0.0
8474066,2018,Thomas Hickey,NYI,all,40,44380.0,5.22,0.43,1.64,47.0,110.0,2.0,0.0,0.0,0.0
8474066,2018,Thomas Hickey,NYI,5on5,40,37468.0,5.22,0.5,1.54,44.0,104.0,2.0,0.0,0.0,0.0
8474066,2018,Thomas Hickey,NYI,4on5,40,4896.0,5.27,0.06,0.01,1.0,3.0,0.0,0.0,0.0,0.0
8474066,2018,Thomas Hickey,NYI,5on4,40,155.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475167,2018,Victor Hedman,T.B,other,70,4453.0,51.09,0.57,1.28,12.0,18.0,7.0,2.0,1.0,0.0
8475167,2018,Victor Hedman,T.B,all,70,95619.0,60.06,0.59,10.88,183.0,328.0,54.0,12.0,9.0,2.0
8475167,2018,Victor Hedman,T.B,5on5,70,69355.0,60.06,0.54,7.67,135.0,252.0,21.0,8.0,7.0,2.0
8475167,2018,Victor Hedman,T.B,4on5,70,8367.0,59.16,0.18,0.15,5.0,7.0,1.0,0.0,0.0,0.0
8475167,2018,Victor Hedman,T.B,5on4,70,13444.0,60.29,0.92,1.59,28.0,46.0,25.0,2.0,1.0,0.0
8474061,2018,Anthony Peluso,CGY,other,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474061,2018,Anthony Peluso,CGY,all,4,987.0,-0.08,0.33,0.01,1.0,1.0,0.0,0.0,0.0,0.0
8474061,2018,Anthony Peluso,CGY,5on5,4,987.0,-0.08,0.5,0.01,1.0,1.0,0.0,0.0,0.0,0.0
8474061,2018,Anthony Peluso,CGY,4on5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474061,2018,Anthony Peluso,CGY,5on4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468508,2018,Justin Williams,CAR,other,82,3801.0,64.21,0.56,4.64,22.0,29.0,6.0,3.0,8.0,3.0
8468508,2018,Justin Williams,CAR,all,82,85752.0,75.57,0.65,28.96,238.0,378.0,53.0,23.0,34.0,11.0
8468508,2018,Justin Williams,CAR,5on5,82,69529.0,75.57,0.59,17.12,172.0,281.0,34.0,12.0,14.0,2.0
8468508,2018,Justin Williams,CAR,4on5,82,90.0,12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468508,2018,Justin Williams,CAR,5on4,82,12332.0,71.19,0.91,7.21,44.0,68.0,13.0,8.0,12.0,6.0
